id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,ciudad,tiene_reviews
21241489,PADOVA,45.50063,9.22136,Private room,40.0,1,0,,0.0,2,0,Milán,0
21242021,XXII MARZO,45.45839,9.21054,Private room,42.0,1,122,,2.79,2,360,Milán,0
21246632,WASHINGTON,45.45732,9.15661,Entire home/apt,49.0,4,4,,0.09,1,359,Milán,0
21248127,DUOMO,45.45976,9.18763,Entire home/apt,120.0,7,10,,0.22,1,222,Milán,0
21250651,ISOLA,45.49451,9.18618,Entire home/apt,83.0,2,72,,1.74,1,53,Milán,0
21258274,PARCO MONLUE' - PONTE LAMBRO,45.44064,9.26381,Entire home/apt,45.0,5,12,,0.28,1,150,Milán,0
21259375,RONCHETTO SUL NAVIGLIO,45.44167,9.13066,Entire home/apt,48.0,3,17,,0.38,1,19,Milán,0
21260142,GUASTALLA,45.45387,9.19949,Private room,79.0,2,0,,0.0,1,364,Milán,0
21261856,WASHINGTON,45.45823,9.15972,Entire home/apt,68.0,1,12,,0.37,46,150,Milán,0
21272615,VIGENTINA,45.45094,9.18781,Entire home/apt,90.0,1,0,,0.0,1,89,Milán,0
21272812,GIAMBELLINO,45.45311,9.14962,Entire home/apt,77.0,1,20,,0.45,25,42,Milán,0
21275585,BUENOS AIRES - VENEZIA,45.47608,9.21332,Private room,101.0,1,4,,0.09,1,0,Milán,0
21277644,CENTRALE,45.48272,9.20267,Entire home/apt,80.0,1,16,,0.41,1,83,Milán,0
21284355,BANDE NERE,45.46426,9.13343,Private room,39.0,2,5,,0.13,1,159,Milán,0
21287194,RONCHETTO SUL NAVIGLIO,45.43947,9.15078,Entire home/apt,33.0,2,22,,0.53,1,347,Milán,0
21289390,TORTONA,45.45745,9.16279,Private room,45.0,2,22,,0.49,1,178,Milán,0
21290536,TICINESE,45.45221,9.18176,Entire home/apt,80.0,1,0,,0.0,16,306,Milán,0
21291926,CENTRALE,45.49417,9.20936,Entire home/apt,70.0,2,21,,0.46,1,311,Milán,0
21300513,BRERA,45.46941,9.1867,Entire home/apt,287.0,2,14,,1.42,42,61,Milán,0
21303449,GUASTALLA,45.4568,9.1953,Entire home/apt,27.0,1,0,,0.0,161,0,Milán,0
21309047,VILLAPIZZONE,45.49572,9.14321,Private room,61.0,1,5,,0.13,6,364,Milán,0
21309070,BUENOS AIRES - VENEZIA,45.47695,9.20455,Entire home/apt,55.0,2,1,,0.02,1,89,Milán,0
21309092,BUENOS AIRES - VENEZIA,45.47623,9.20441,Private room,53.0,2,6,,0.27,1,89,Milán,0
21309280,VILLAPIZZONE,45.49687,9.14195,Private room,61.0,1,0,,0.0,6,364,Milán,0
21316993,XXII MARZO,45.46591,9.21047,Entire home/apt,150.0,3,0,,0.0,3,358,Milán,0
21318620,MAGENTA - S. VITTORE,45.45846,9.17251,Entire home/apt,178.0,1,40,,0.96,8,0,Milán,0
21319420,DUOMO,45.46193,9.18551,Entire home/apt,79.0,1,15,,0.35,161,0,Milán,0
21319958,DERGANO,45.50298,9.17207,Entire home/apt,30.0,7,0,,0.0,2,0,Milán,0
21324729,ISOLA,45.49632,9.18814,Entire home/apt,56.0,2,49,,1.08,51,96,Milán,0
21330719,WASHINGTON,45.46476,9.16119,Entire home/apt,67.0,1,75,,1.66,1,316,Milán,0
21332884,PARCO LAMBRO - CIMIANO,45.50319,9.24521,Private room,25.0,2,8,,0.18,1,268,Milán,0
21340216,ISOLA,45.49314,9.1902,Entire home/apt,390.0,1,107,,2.45,1,239,Milán,0
21353157,DUOMO,45.46572,9.18087,Entire home/apt,146.0,1,15,,0.33,25,348,Milán,0
21353756,BUENOS AIRES - VENEZIA,45.47857,9.21014,Entire home/apt,199.0,1,51,,1.13,3,0,Milán,0
21354065,BUENOS AIRES - VENEZIA,45.48047,9.2092,Entire home/apt,109.0,1,44,,0.98,3,0,Milán,0
21356165,DERGANO,45.5041,9.17419,Entire home/apt,42.0,60,37,,0.82,1,0,Milán,0
21360744,CENTRALE,45.48342,9.20744,Private room,39.0,1,110,,2.45,3,346,Milán,0
21374329,VIALE MONZA,45.50596,9.22976,Entire home/apt,55.0,2,4,,0.09,1,89,Milán,0
21374938,VILLAPIZZONE,45.49739,9.14393,Entire home/apt,50.0,2,6,,0.28,2,283,Milán,0
21375311,ISOLA,45.4932,9.18661,Private room,400.0,1,1,,0.03,1,0,Milán,0
21376115,DUOMO,45.46413,9.18119,Entire home/apt,10.0,1,0,,0.0,161,0,Milán,0
21376138,BRERA,45.47649,9.1858,Private room,40.0,4,2,,0.04,1,83,Milán,0
21376701,DUOMO,45.46413,9.18119,Entire home/apt,50.0,1,0,,0.0,161,0,Milán,0
21381944,PORTA ROMANA,45.44998,9.20602,Entire home/apt,150.0,3,2,,0.05,3,0,Milán,0
21388362,BRERA,45.46751,9.18497,Entire home/apt,80.0,1,183,,4.25,1,129,Milán,0
21389280,MAGENTA - S. VITTORE,45.45651,9.17258,Entire home/apt,90.0,3,2,,0.12,3,178,Milán,0
21391065,GRECO,45.50207,9.2117,Private room,27.0,5,20,,0.45,4,227,Milán,0
