id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,ciudad,tiene_reviews
40085524,Universidad,40.42445,-3.70705,Entire home/apt,116.0,2,1,2020-03-11,0.07,1,105,Madrid,1
40085553,Palos de Moguer,40.4025,-3.69307,Entire home/apt,114.0,7,15,2020-03-02,0.91,3,0,Madrid,1
40086995,Palacio,40.41253,-3.71085,Private room,36.0,2,5,2019-12-31,0.3,1,89,Madrid,1
40090374,Prosperidad,40.44013,-3.67424,Private room,30.0,3,1,2019-12-09,0.06,1,349,Madrid,1
40091172,Ciudad Jardín,40.44921,-3.67608,Private room,42.0,1,10,2020-03-01,0.6,2,365,Madrid,1
40092178,Delicias,40.3997,-3.69654,Private room,56.0,2,2,2020-01-30,0.12,1,0,Madrid,1
40098112,Pacífico,40.4057,-3.68483,Entire home/apt,299.0,3,2,2019-12-31,0.12,1,365,Madrid,1
40099244,Sol,40.41829,-3.70141,Private room,50.0,2,1,2019-12-05,0.06,1,89,Madrid,1
40100023,Embajadores,40.41189,-3.70107,Private room,69.0,1,2,2020-09-27,0.12,3,0,Madrid,1
40100131,Embajadores,40.41148,-3.69974,Private room,99.0,1,0,,0.0,3,0,Madrid,0
40100286,Embajadores,40.41149,-3.70028,Private room,123.0,1,0,,0.0,3,0,Madrid,0
40100287,Pueblo Nuevo,40.431,-3.63336,Private room,25.0,1,2,2019-11-26,0.12,1,90,Madrid,1
40100695,Adelfas,40.40258,-3.67341,Entire home/apt,64.0,6,7,2020-08-30,0.41,3,41,Madrid,1
40100919,Adelfas,40.3971,-3.67099,Private room,50.0,1,1,2019-12-29,0.06,1,0,Madrid,1
40101840,Embajadores,40.40636,-3.70909,Entire home/apt,80.0,1,3,2019-12-30,0.18,1,332,Madrid,1
40102892,Pinar del Rey,40.46898,-3.64648,Private room,26.0,2,1,2020-02-01,0.07,2,1,Madrid,1
40102957,Puerta del Angel,40.41388,-3.72583,Entire home/apt,58.0,2,5,2020-03-08,0.33,10,103,Madrid,1
40103765,Moscardó,40.38988,-3.70219,Private room,29.0,1,22,2020-02-23,1.3,3,82,Madrid,1
40104047,Canillas,40.46671,-3.62892,Entire home/apt,69.0,1,3,2020-03-02,0.21,7,143,Madrid,1
40106193,Casco Histórico de Vallecas,40.3746,-3.62579,Private room,26.0,2,9,2020-03-06,0.53,3,365,Madrid,1
40107333,Universidad,40.42654,-3.70184,Entire home/apt,56.0,2,6,2020-03-08,0.36,1,0,Madrid,1
40109313,Guindalera,40.4364,-3.66918,Entire home/apt,32.0,2,35,2021-04-09,2.04,1,0,Madrid,1
40109583,Valdefuentes,40.48983,-3.6669,Entire home/apt,99.0,1,6,2020-11-26,0.38,2,95,Madrid,1
