id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,ciudad,tiene_reviews
11381729,Embajadores,40.40862,-3.70223,Private room,19.0,2,133,2021-03-24,2.16,1,79,Madrid,1
11382556,Cortes,40.41418,-3.69789,Entire home/apt,45.0,10,0,,0.0,1,0,Madrid,0
11383704,Palos de Moguer,40.40197,-3.69215,Private room,24.0,3,5,2017-07-12,0.09,1,0,Madrid,1
11386800,Numancia,40.40427,-3.65948,Private room,25.0,1,19,2019-10-01,0.4,1,0,Madrid,1
11393884,Universidad,40.42373,-3.70519,Entire home/apt,104.0,2,135,2020-03-01,2.19,2,336,Madrid,1
11395168,Palacio,40.41138,-3.71289,Private room,70.0,3,7,2019-11-03,0.13,3,364,Madrid,1
11411014,Palacio,40.40924,-3.71376,Entire home/apt,269.0,2,111,2020-01-01,1.82,9,365,Madrid,1
11416968,Imperial,40.40487,-3.71288,Entire home/apt,55.0,1,195,2021-04-09,3.55,9,365,Madrid,1
11423836,Universidad,40.42443,-3.70231,Entire home/apt,108.0,3,128,2020-03-08,2.09,3,0,Madrid,1
11426903,Castillejos,40.45839,-3.69544,Entire home/apt,72.0,3,10,2020-11-27,0.16,10,124,Madrid,1
11429775,Trafalgar,40.42942,-3.69851,Entire home/apt,68.0,1,67,2020-02-29,1.08,2,88,Madrid,1
11429939,Adelfas,40.40142,-3.668,Entire home/apt,81.0,7,8,2021-02-15,0.18,33,160,Madrid,1
11431074,Palos de Moguer,40.4013,-3.69229,Private room,60.0,1,23,2020-03-08,1.06,1,89,Madrid,1
11431731,Adelfas,40.40216,-3.66815,Entire home/apt,96.0,7,31,2021-04-01,0.96,33,219,Madrid,1
11432210,Embajadores,40.40699,-3.70759,Entire home/apt,117.0,3,59,2019-10-25,1.04,8,0,Madrid,1
11438317,Adelfas,40.40119,-3.66999,Entire home/apt,74.0,7,6,2021-03-27,0.12,33,25,Madrid,1
11438763,Adelfas,40.40065,-3.6679,Entire home/apt,96.0,7,3,2019-10-01,0.05,33,258,Madrid,1
11439080,Adelfas,40.40256,-3.66835,Entire home/apt,96.0,7,2,2018-12-10,0.06,33,239,Madrid,1
11439210,Adelfas,40.40205,-3.66798,Entire home/apt,96.0,7,3,2019-01-05,0.05,33,258,Madrid,1
11439843,Cuatro Caminos,40.44744,-3.70132,Entire home/apt,63.0,7,11,2021-03-31,0.18,5,322,Madrid,1
11445011,Goya,40.42716,-3.67975,Private room,65.0,2,7,2019-12-08,0.2,3,365,Madrid,1
11447114,Adelfas,40.40249,-3.66833,Entire home/apt,113.0,7,14,2021-04-06,0.23,33,4,Madrid,1
11447315,Adelfas,40.40059,-3.66933,Entire home/apt,159.0,7,12,2020-01-03,0.2,33,190,Madrid,1
11447914,Goya,40.42523,-3.68002,Private room,100.0,2,1,2016-04-24,0.02,3,89,Madrid,1
11452943,Prosperidad,40.43908,-3.67464,Entire home/apt,250.0,90,6,2019-08-13,0.1,1,364,Madrid,1
11455398,Delicias,40.39725,-3.6954,Entire home/apt,53.0,2,94,2018-09-24,1.51,1,0,Madrid,1
11459814,Los Angeles,40.35627,-3.69595,Entire home/apt,95.0,5,23,2020-01-02,0.42,1,226,Madrid,1
11468567,Universidad,40.425,-3.70647,Entire home/apt,45.0,80,43,2019-09-15,0.7,1,365,Madrid,1
11472913,Castellana,40.43076,-3.687,Private room,75.0,3,2,2016-05-23,0.03,1,364,Madrid,1
11482976,Trafalgar,40.42845,-3.69679,Private room,40.0,1,0,,0.0,1,0,Madrid,0
11489220,Recoletos,40.42911,-3.68556,Entire home/apt,104.0,6,21,2020-03-07,0.35,1,362,Madrid,1
11490064,Universidad,40.42133,-3.70317,Entire home/apt,37.0,1,215,2020-09-05,3.54,53,360,Madrid,1
11490939,Sol,40.41967,-3.70502,Entire home/apt,39.0,1,278,2020-09-01,4.57,53,358,Madrid,1
11495159,Palacio,40.40725,-3.71152,Private room,42.0,1,197,2020-03-06,3.2,9,270,Madrid,1
11501797,Prosperidad,40.44473,-3.67299,Entire home/apt,66.0,3,77,2021-03-22,1.25,1,159,Madrid,1
11504109,Moscardó,40.38882,-3.69863,Private room,30.0,1,47,2019-05-29,0.79,1,0,Madrid,1
11505677,Embajadores,40.41327,-3.7034,Entire home/apt,123.0,2,5,2017-05-13,0.1,4,0,Madrid,1
11509649,Rejas,40.44472,-3.58884,Entire home/apt,74.0,2,187,2020-05-01,3.15,1,2,Madrid,1
11513055,Adelfas,40.40129,-3.66789,Entire home/apt,51.0,3,49,2020-03-02,0.79,1,365,Madrid,1
11515073,Opañel,40.38854,-3.72665,Private room,25.0,2,21,2017-10-29,0.34,1,0,Madrid,1
11519247,Justicia,40.42252,-3.69491,Entire home/apt,443.0,2,20,2016-09-10,0.32,1,89,Madrid,1
11519854,Pacífico,40.4055,-3.68536,Private room,53.0,2,3,2019-12-31,0.05,1,365,Madrid,1
11536525,Delicias,40.39389,-3.69075,Private room,36.0,1,51,2017-12-10,0.83,1,0,Madrid,1
11537030,Arapiles,40.43544,-3.71028,Entire home/apt,120.0,3,70,2020-03-01,1.44,1,0,Madrid,1
11539103,Embajadores,40.41061,-3.7021,Entire home/apt,58.0,2,55,2019-07-07,1.02,1,0,Madrid,1
11550179,Cortes,40.4133,-3.69738,Entire home/apt,127.0,2,6,2017-01-01,0.1,1,0,Madrid,1
11550407,Embajadores,40.40747,-3.70987,Entire home/apt,50.0,1,419,2021-04-11,6.75,1,315,Madrid,1
11550638,Bellas Vistas,40.44956,-3.70358,Private room,23.0,3,17,2019-06-03,0.27,2,0,Madrid,1
11551340,Pilar,40.47567,-3.70606,Entire home/apt,45.0,5,0,,0.0,2,0,Madrid,0
11559121,Alameda de Osuna,40.45246,-3.59304,Private room,30.0,1,45,2020-12-11,0.95,3,14,Madrid,1
11559470,Embajadores,40.41171,-3.70366,Entire home/apt,78.0,10,12,2019-01-17,0.19,1,335,Madrid,1
11559474,Delicias,40.39425,-3.69431,Private room,18.0,1,3,2016-06-27,0.05,4,0,Madrid,1
11560547,Delicias,40.3962,-3.69586,Private room,18.0,1,0,,0.0,4,0,Madrid,0
11561215,Delicias,40.39424,-3.69408,Private room,15.0,1,0,,0.0,4,0,Madrid,0
11561737,Delicias,40.39468,-3.69437,Private room,15.0,1,0,,0.0,4,0,Madrid,0
11564669,Puerta del Angel,40.40436,-3.7368,Private room,30.0,7,18,2020-03-16,0.31,1,365,Madrid,1
11576456,Gaztambide,40.43274,-3.7129,Private room,45.0,1,17,2016-09-03,0.27,1,348,Madrid,1
